project,woodpecker,parasite,butterfly,rodent,mouse,seed,small-mamal,mammal,weed,herb,avian,fish,bird,amphibian,bat,frog,rat,insect,mussel,vegetation,plant,tree,shrub,veligers,pikeminnow,sootywing,bacteria,tanager,warbler,cow-bird,willow,quailbush,cedar,mesquite,arrowweed,cottonwood,cottonwood-willow,razorback,rasu,flannelmouth,yellow-billed,humpback,chub,bonytail,rainbow,trout,catfish,bass,cuckoo,owl,elf-owl,woodpecker,warbler,flycatcher,tanger,flicker,vireo,grackel,quail,blackbird,starling,dove,adult,juvenile,larvae,larval,breeder,migrants,waterbirds,shorebirds,phytoplankton,zooplankton,plankton,copepod,rotifer,cladoceran,cyanobacteria,bacillariophyta,chlorophyta,cryptophyta,pyrrohyta,milkvetch,buckwheat,rail,clapper,chairmaker,bulrush,cattail,phragmites,threesquare,Choeronycteris mexicana,leptonycteris,myotis,parastrellus,eptesicus,lasiuru,euderma,idionycteris,antrozous,tadarida,nyctinomops,eumops,xyrauchen,leaf-nose,empidonax,coccyzuz,saltcedar,saltgrass,desertbloom,tamarisk,catostomus,gila,laterallus,rallus,ixobrychus,colaptes,sigmodon,deciduous,reach,shore,river,drainage,reclamation,tributary,tributaries,agricultural,biotic,refuge,spring,flood,dam,mine,impoundment,estury,freshwater,coastal,riparian,lake,marsh,channel,backwater,pond,ditch,raceway,soil,tank,laboratory,hatchery,reservoir,floodplain,herbaceous,crop,woody,woodlands,canopy,understory,snag,irrigation,wildfire,wetland,forest,sediment,roost,roosting,foliage,sand,valley,submersible,evaluation,distribution,study,transport,handling,physiology,physiological,orthophotography,mapping,management,evaluation,conservation,development,plan,outreach,colonization,law,wedge-wire,demography,helicopter,plumage,implantation,hatchery-reared,diet,propagation,dispersal,colorimeter,video,vocalization,distribution,field-trapped,sherman,sigmodon,open-cup,treatment,biomass,taxonomic,wire-coded,sampled,scanned,translocation,broodstock,absence,presence,terrestrial,drawdown,boat,band,hydrology,hydrological,ves,fertilizer,batymetric,limnological,turbidity,sur,hydrophone,cover,harp,guano,swim,chamber,restoration,depth,hoop,dimorphism,call-playback,banded,banding,buckets,imaging,aerial,repatriation,passive,active,implantation,sonic,fyke,tag,pit,toxicity,visual,aging,pectoral,fin,sexed,trammel,mist-netting,netted,demography,post-stocking,telemetry,shannon-wiener,diversity,epa,anova,abiotic,clearing,monitoring,densiometer,point-intercept,survey,singing,display,search,grid-search,creation,restoration,population,acoustic,recruitment,gis,satellite,map,disease,swimming,growth,mass,height,weight,weighed,density,moisture,temperature,trial,treatment,tolerance,mortality,netting,transponder,trapping,trap,capture,captured,release,mark,recapture,mark-recapture,electrofishing,sampling,double-sampling,transmitters,tagging,tagged,track,tracking,transect,sensor,photo,photograph,photography,genetic,dna,mtdna,microsatellites,haplotype,tissue,cell,microscope,microscopy,microscopic,staining,planting,fungus,survivorship,stocking,spawning,habitat,nest,nesting,eggs,predation,predator,prey,breeding,survival,foraging,fertilization,fire,oxygen,nitrogen,carbon,potassium,phosphorous,orthophosphorous,ammonia,formalin,salinity,nitrate,nitrite,ph,acid,alkaline,acidity,alkalinity,arsenic,selenium,nitrate-nitrate,conductivity,biomass,pozzolan,lassenite,humidity
c34,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,31,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,5,0,0,0,0,0,90,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,6,9,0,0,0,0,5,11,0,10,0,0,0,4,0,0,74,11,0,12,124,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,23,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,278,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0
c35,0,0,0,0,0,0,0,0,0,0,0,17,0,0,619,0,0,0,0,43,0,243,0,0,0,0,0,0,0,0,9,0,0,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,8,0,0,126,23,48,0,0,12,0,38,0,0,5,0,0,0,0,0,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,27,0,0,14,0,371,332,14,0,30,0,6,204,28,0,0,0,0,0,0,15,6,71,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,204,0,0,0,0,328,0,0,0,16,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,6,21,52,0,0,0,0,3,0,0,11,0,0,6,0,0,72,6,0,0,0,0,0,0,0,0,0,131,0,0,0,0,17,0,328,0,0,12,0,30,0,50,193,6,0,0,0,0,59,0,79,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,205,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c36,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,7,0,0,0,0,11,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,9,0,0,0,0,19,0,0,0,6,0,0,4,28,0,0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,28,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,7,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,76,11,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c37,0,0,0,0,0,5,0,0,0,0,4,17,14,0,0,0,0,0,0,179,15,17,0,0,0,0,0,0,0,0,98,0,0,14,0,11,0,0,0,0,84,0,0,0,0,0,0,0,84,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,0,3,0,0,0,0,0,0,0,0,546,8,43,0,10,0,0,86,6,54,133,0,0,0,0,4,61,24,112,46,0,0,0,0,828,0,0,0,4,4,0,0,6,0,191,4,0,62,0,0,32,3,0,0,0,143,48,0,0,10,118,0,0,0,0,0,4,13,0,69,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,365,0,0,0,0,0,0,0,0,90,0,0,0,0,72,348,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,32,0,0,0,0,14,72,0,0,0,28,0,31,0,0,0,0,78,0,0,13,274,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,157,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,17,16,3,0,0,0,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
c38,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,78,6,4,0,0,0,0,0,0,0,8,0,0,0,3,0,0,12,0,0,0,0,0,29,0,0,0,80,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,54,0,0,0,9,71,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c39,0,0,0,0,0,0,0,0,0,0,7,1274,0,0,0,0,0,0,0,36,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,58,0,0,0,4,6,817,0,0,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,56,33,444,24,73,0,0,4,3,65,45,0,51,0,0,0,0,0,0,638,154,121,282,11,0,0,0,13,0,26,67,0,0,0,7,0,0,0,0,36,0,0,0,5,0,0,0,0,18,46,0,512,408,15,0,0,0,0,0,48,0,53,4,7,8,0,0,0,0,0,0,0,8,0,0,57,0,0,0,512,0,0,0,0,0,0,0,0,11,22,0,0,0,9,0,0,73,0,0,0,0,0,0,0,92,354,20,27,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,122,235,0,11,0,93,143,0,0,0,0,6,3,29,0,0,0,306,197,0,0,0,0,3,0,29,0,0,32,0,0,0,0,0,0,4,119,3,0,0,34,0,10,0,11,0,7,7,0,0,18,0,0,0,92,32,17,0,0,18,49,114,5,5,0,6,73,0,60,0,73,6,195,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,104,0,0,0,31,0,5,0,292,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
c3,48,0,0,14,8,5,0,12,0,0,12,451,175,14,181,85,34,13,0,97,32,21,7,0,8,5,5,18,38,0,46,8,35,43,5,35,29,302,0,111,14,56,32,81,0,3,5,0,13,50,0,48,38,28,0,53,14,0,0,0,0,0,98,50,41,49,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,17,20,91,105,0,20,20,3,0,0,0,5,0,0,0,0,0,0,0,0,0,39,0,3,0,0,0,0,6,21,140,10,10,7,17,72,6,69,7,918,21,178,6,26,34,0,107,52,21,62,30,7,0,16,8,128,194,143,36,20,11,0,0,15,3,33,10,36,6,5,0,7,20,14,11,0,21,0,12,16,8,65,39,9,25,154,0,34,234,74,3,0,0,3,0,0,172,34,258,47,47,0,0,0,0,18,0,33,0,7,43,0,15,0,0,11,234,0,0,72,0,4,0,6,0,0,0,11,0,6,26,8,0,0,3,4,0,0,0,0,0,8,0,0,32,0,0,0,0,72,34,0,0,0,3,11,0,0,0,0,3,32,0,0,0,0,0,0,20,9,8,13,0,0,0,0,18,4,16,0,25,0,0,0,0,80,0,0,96,7,12,3,0,21,72,195,14,21,0,0,3,15,5,59,14,15,11,0,41,3,47,0,4,3,23,0,0,4,0,20,54,12,0,4,25,0,21,3,5,0,7,3,3,4,0,0,0,0,18,8,0,0,0,6,0,0,0,0,0,0,4,20,4,87,551,153,62,76,34,6,41,210,37,53,3,15,7,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,8,0,0,0,0,0,3
c40,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,3,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c42,0,0,0,0,0,121,0,0,5,0,0,12,0,0,0,0,0,0,0,58,0,28,0,0,0,0,0,0,0,0,42,0,0,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,52,24,70,0,0,3,0,30,3,0,0,0,0,0,0,0,13,90,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,75,12,0,0,32,108,0,0,0,0,0,0,26,0,104,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,55,0,0,0,0,0,0,0,12,18,0,0,0,0,0,10,0,0,0,8,25,15,0,0,174,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,322,144,0
c43,0,0,0,0,0,0,0,0,0,0,0,6,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,7,0,0,0,13,0,6,0,0,0,0,0,0,0,0,5,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,14,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,58,8,0,13,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c44,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,25,45,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,32,3,0,44,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,4,11,0,0,0,0,0,0,29,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,32,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
c46,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,67,0,0,0,0,0,90,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,24,6,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,23,43,85,0,30,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,8,0,3,0,0,0,0,3,4,5,0,0,0,0,11,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
c47,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,17,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,31,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,29,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,26,0,0,0,0,0,0,16,0,15,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,138,32,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,21,0,0,0,0,37,0,0,0,0,0,0,0,0,0,23,0,112,0,0,0,3,0,37,43,0,12,0,4,0,12,0,138,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3,0,0,0,0,0,0,0,0,0,0,0,7,16,11,0,0,0,0,5,0,0,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
c48,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,31,0,44,0,10,0,0,0,0,0,0,3,44,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,23,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,13,6,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c4,0,0,0,0,0,0,0,0,0,0,0,56,0,14,0,196,0,0,0,124,0,0,0,0,0,0,0,0,0,0,24,0,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,129,137,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,51,50,30,0,0,5,0,34,670,0,10,0,0,0,0,0,9,39,0,49,0,94,18,5,0,5,14,50,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,0,112,0,95,13,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,283,0,0,4,0,0,10,30,0,37,0,0,0,0,0,6,35,0,0,0,6,0,101,0,0,0,0,0,0,0,0,6,6,25,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,90,0,0,46,0,0,0,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c51,0,0,0,0,0,0,0,0,0,0,5,10,20,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,18,0,3,17,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,72,5,20,0,4,7,0,7,3,0,3,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,6,0,9,0,4,14,4,0,0,0,0,0,0,0,4,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,5,0,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,20,7,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
